abuden, obviously
alamak, oh no
aiyah, oh dear
aiyo, oh no
balik, go home
beng, gangster
blur, clueless
buaya, womanizer
buay, cannot
bodoh, idiot
chao, playing foul
cheena, chinese
chio, pretty
dey, hey
eye-power, contributing nothing
encik, mister
eeyer, disgusting
gone-case, doomed
garang, fierce
gostan, reverse
guai, good
liao, done
jiak, eat
jia lat, terrible
kena, afflicted with
kiasu, afriad of losing
kopi, coffee
makan, to eat
mug, to study
mata, police
orh, yes
pasar, flea market
paiseh, self-conscious
shiok, satisfied
tio, to get
yah lor, yes
wah seh, wow
